ID,Size,URL
MS-T50004094T-BEJ-40,40,https://www.marksandspencer.com.tr/kadin-bej-relaxed-fit-crop-bomber-ceket-10000000366847/
MS-T50004094T-BEJ-42,42,https://www.marksandspencer.com.tr/kadin-bej-relaxed-fit-crop-bomber-ceket-10000000366847/
MS-T50004094T-BEJ-44,44,https://www.marksandspencer.com.tr/kadin-bej-relaxed-fit-crop-bomber-ceket-10000000366847/
MS-T50004094T-BEJ-46,46,https://www.marksandspencer.com.tr/kadin-bej-relaxed-fit-crop-bomber-ceket-10000000366847/
MS-T50004094T-BEJ-48,48,https://www.marksandspencer.com.tr/kadin-bej-relaxed-fit-crop-bomber-ceket-10000000366847/
MS-T50004094T-BEJ-50,50,https://www.marksandspencer.com.tr/kadin-bej-relaxed-fit-crop-bomber-ceket-10000000366847/
MS-T06000070-KREM-36,36,https://www.marksandspencer.com.tr/kadin-krem-yun-karisimli-iki-dugmeli-blazer-ceket-10000000725285/
MS-T06000070-KREM-38,38,https://www.marksandspencer.com.tr/kadin-krem-yun-karisimli-iki-dugmeli-blazer-ceket-10000000725285/
MS-T06000070-KREM-40,40,https://www.marksandspencer.com.tr/kadin-krem-yun-karisimli-iki-dugmeli-blazer-ceket-10000000725285/
MS-T06000070-KREM-42,42,https://www.marksandspencer.com.tr/kadin-krem-yun-karisimli-iki-dugmeli-blazer-ceket-10000000725285/
MS-T06000070-KREM-44,44,https://www.marksandspencer.com.tr/kadin-krem-yun-karisimli-iki-dugmeli-blazer-ceket-10000000725285/
MS-T06000070-KREM-46,46,https://www.marksandspencer.com.tr/kadin-krem-yun-karisimli-iki-dugmeli-blazer-ceket-10000000725285/
MS-T06000070-KREM-48,48,https://www.marksandspencer.com.tr/kadin-krem-yun-karisimli-iki-dugmeli-blazer-ceket-10000000725285/
MS-T50005365T-MAVI-34,34,https://www.marksandspencer.com.tr/kadin-mavi-simli-bisiklet-yaka-kazak-10000000807242/
